date,actual,mean,naive,seasonal_naive,drift,sarima,sarimax_temp,sarimax_temp_holiday,feature_model,random_forest,bayesian,lstm
2018-10-14,55.85641666666667,55.97613470853859,54.283928571428575,56.34609523809524,54.332247602513235,58.11316864579855,58.15937340252226,57.22800682779556,56.34669386714679,55.95894364880956,56.28636811059862,50.78258972650045
2018-10-21,55.73739285714286,55.97613470853859,54.283928571428575,56.5485,54.38056663359789,58.108096827148216,58.03020097224185,57.654740266920676,56.05044539617704,56.19486020238097,56.707287783088276,52.13356172635575
2018-10-28,58.70863392857142,55.97613470853859,54.283928571428575,57.698529761904766,54.42888566468255,58.01327117582396,58.53223858111273,58.691439416739556,58.56912336595234,57.57407027976191,57.59960429038999,52.49771321410698
2018-11-04,55.92933928571429,55.97613470853859,54.283928571428575,53.69830952380953,54.4772046957672,55.84281519211866,56.71754223073908,56.301097780228524,55.44423370656064,54.89899490476191,57.727570783372364,52.61094921074879
2018-11-11,58.15539285714286,55.97613470853859,54.283928571428575,59.19413690476191,54.52552372685186,60.93592201924144,59.552893511650936,59.20803414265608,58.714565040374545,58.1646367142858,57.83333680846304,52.5467080669239
2018-11-18,59.68481547619048,55.97613470853859,54.283928571428575,59.97976190476191,54.57384275793651,61.41863424794007,61.69170770181341,60.59293360760512,59.073308101253794,59.07827873214299,60.27930587752008,52.47067570944749
2018-11-25,61.54408333333334,55.97613470853859,54.283928571428575,60.68960714285714,54.62216178902117,61.63557895683516,61.928681198068205,62.069347796151575,61.93489333045492,60.23282583928581,61.1379630053076,52.465100010476895
2018-12-02,62.38477380952381,55.97613470853859,54.283928571428575,61.9493630952381,54.67048082010582,62.97932577264148,62.827443918206626,62.83114585010808,62.073908846695915,61.23502320238113,62.57908836715682,52.48944884208946
2018-12-09,62.30941071428571,55.97613470853859,54.283928571428575,63.12271428571429,54.71879985119048,63.91108978026661,62.64670741711944,63.22390169445162,60.27927548838213,59.780140761904704,62.014463087006696,52.51314431039751
2018-12-16,63.2360119047619,55.97613470853859,54.283928571428575,62.709113095238095,54.767118882275135,63.358606722471116,62.5141108881655,63.56191616147642,62.536775388719825,61.895966244047834,62.66532888636676,52.53560237220602
2018-12-23,59.46742261904762,55.97613470853859,54.283928571428575,58.01036904761905,54.815437913359794,58.952903729685424,58.289376612269365,58.862680568979755,60.4241246337102,60.027016488095484,60.94738122726841,52.56619158023655
2018-12-30,49.06395833333334,55.97613470853859,54.283928571428575,48.21619642857143,54.86375694444445,49.79211845565142,49.93207089592156,48.897595536087955,54.71854348202742,50.55392032142833,52.99539033195505,52.61850371017447
2019-01-06,53.785875,55.97613470853859,54.283928571428575,54.82599404761905,54.912075975529106,57.87252370410818,58.958619585857264,56.09933799863143,53.29179777208128,54.624559916666776,54.46821740985595,52.70946476798412
2019-01-13,62.34131547619048,55.97613470853859,54.283928571428575,60.03870833333334,54.96039500661376,62.310489109639164,62.671151306473746,60.428133923842,59.20097696129203,58.657440071428596,59.73178386100545,52.858667671194766
2019-01-20,62.42041071428572,55.97613470853859,54.283928571428575,61.87499404761905,55.00871403769842,63.604245349841946,63.28969389850768,62.49602517588271,62.117551341414,61.61990077976193,62.67137559426747,53.12923682762657
2019-01-27,63.60064285714285,55.97613470853859,54.283928571428575,60.13630357142857,55.05703306878307,62.689263007961245,64.75707946845667,62.555846114343595,62.19371307160529,61.58732513690485,62.85424545202269,53.58518028209661
2019-02-03,62.084172619047614,55.97613470853859,54.283928571428575,60.80175595238095,55.10535209986773,62.278617077931465,62.778113820317415,62.19180315370008,62.15602032084844,61.34964608333353,63.11189361107929,53.87867632517557
2019-02-10,62.36006547619048,55.97613470853859,54.283928571428575,61.24060119047619,55.15367113095238,62.80389350657122,61.855133461160605,60.90142079261162,59.93261001122585,59.78173683333337,61.353596682644806,54.0318777456006
2019-02-17,60.81628571428572,55.97613470853859,54.283928571428575,60.7431011904762,55.20199016203704,62.110248714609114,61.50862965450994,60.73598499152394,60.45399121329842,59.63883957142865,61.19043717850293,54.137864925169325
2019-02-24,59.46981547619048,55.97613470853859,54.283928571428575,60.676369047619055,55.250309193121694,61.83305462560349,62.01788592388026,60.38719118620404,59.81731689673528,60.07151161904762,60.96934506739152,54.22215845661204
2019-03-03,58.48464880952381,55.97613470853859,54.283928571428575,63.459208333333336,55.298628224206354,62.82175043122039,60.674612233983936,61.55184237910138,59.50110283908546,58.893606458333416,60.92563789504677,54.288498026157846
2019-03-10,58.98054761904762,55.97613470853859,54.283928571428575,59.20167261904761,55.346947255291006,60.38474813643372,59.70468565116333,59.18792209458069,58.89273246358153,58.24527890476199,58.854541301302525,54.33893933674951
2019-03-17,60.079071428571424,55.97613470853859,54.283928571428575,60.84568452380953,55.395266286375666,60.88482595508519,59.54852137331261,60.73025532869159,60.09021237848609,58.69327400595241,59.90423363264037,54.37609090962575
2019-03-24,57.6696130952381,55.97613470853859,54.283928571428575,60.76349107142857,55.44358531746032,60.54864362125086,58.97753638557854,60.18627447714246,60.634404311456414,58.808908714285685,59.63624795208812,54.40275357912133
2019-03-31,56.75513392857143,55.97613470853859,54.283928571428575,55.464863095238094,55.49190434854498,56.692462169020054,57.551642671212505,57.20370899221036,56.644742300904284,55.912778369047764,57.38281390162153,54.42149554521521
2019-04-07,56.44463095238096,55.97613470853859,54.283928571428575,54.53230952380952,55.54022337962964,56.17821296881838,56.37598728642921,56.77116414039458,56.06228007047869,55.50900831547622,57.02269215158936,54.43444896229602
2019-04-14,56.744,55.97613470853859,54.283928571428575,56.10604166666667,55.58854241071429,56.10543062258439,55.74575413070353,58.40484573554061,56.002181345414066,55.81767360119061,58.01035958107837,54.44327681547206
2019-04-21,51.76682142857143,55.97613470853859,54.283928571428575,54.416821428571424,55.63686144179895,55.55946020885399,54.42475066663653,53.933704144904326,53.45671792973491,54.60409004166663,54.37173327936739,54.44921998515505
2019-04-28,52.24194047619048,55.97613470853859,54.283928571428575,55.363214285714285,55.6851804728836,56.956871739449674,56.10542115626976,54.3936054289327,53.64865663920905,54.444449142857096,52.609586245832475,54.45317793661916
